Expedition,Site,Hole,Program,Longitude,Latitude,Water Depth (m),Core Recovered (m)
11,101,,DSDP,-74.4385,25.1988,4868,16
11,101,A,DSDP,-74.4385,25.1988,4868,23
11,102,,DSDP,-74.4523,30.7322,3426,99
11,103,,DSDP,-74.5832,30.4513,3964,37
11,104,,DSDP,-74.3273,30.8275,3811,56
11,105,,DSDP,-69.1733,34.8953,5251,197
11,106,,DSDP,-69.4615,36.4335,4500,22
11,106,A,DSDP,-69.4615,36.4335,4500
11,106,B,DSDP,-69.4302,36.4213,4504,39
11,107,,DSDP,-72.4753,38.6598,2571,1.5
11,108,,DSDP,-72.6535,38.8045,1845,7.2
11,98,,DSDP,-77.3113,25.3825,2769,80
11,99,,DSDP,-73.8498,23.6857,4914
11,99,A,DSDP,-73.8498,23.6857,4914,29
12,111,,DSDP,-46.3675,50.4262,1797,15
12,111,A,DSDP,-46.3675,50.4262,1797,59
12,112,,DSDP,-46.604,54.0167,3657,75
12,112,A,DSDP,-46.604,54.0167,3657,32
12,113,,DSDP,-48.3318,56.79,3619,31
12,114,,DSDP,-26.8,59.9333,1927,46
12,115,,DSDP,-21.1167,58.9067,2883,11
12,116,,DSDP,-15.9243,57.496,1151,195
12,116,A,DSDP,-15.9243,57.496,1151,89
12,117,,DSDP,-15.3995,57.3362,1038,8.5
12,117,A,DSDP,-15.3995,57.3362,1038,34
12,118,,DSDP,-9.0105,45.0442,4901,52
12,119,,DSDP,-7.9748,45.0317,4447,192
13,120,,DSDP,-11.4323,36.6898,1711,6.2
13,121,,DSDP,-4.3738,36.1608,1163,46
13,122,,DSDP,2.6243,40.4478,2146,5.6
13,123,,DSDP,2.8378,40.6305,2290,20
13,124,,DSDP,4.9948,38.873,2726,41
13,125,,DSDP,20.4293,34.6248,2782,48
13,125,A,DSDP,20.4293,34.6248,2782,18
13,126,,DSDP,21.4272,35.162,3730,19
13,126,A,DSDP,21.4272,35.162,3733,0.9
13,127,,DSDP,22.4968,35.7317,4654,92
13,127,A,DSDP,22.4968,35.7317,4636,23
13,127,B,DSDP,22.4968,35.7317,4640,0.5
13,128,,DSDP,22.4683,35.7097,4640,74
13,129,,DSDP,27.082,34.3493,3048,2.8
13,129,A,DSDP,27.082,34.3493,2832,1.7
13,129,B,DSDP,27.082,34.3493,3042,1.4
13,130,,DSDP,27.8665,33.6052,2979,23
13,130,A,DSDP,27.8665,33.6052,2982,1
13,131,,DSDP,28.5115,33.1065,3035,8
13,131,A,DSDP,28.5115,33.1065,3037,7.5
13,132,,DSDP,11.4412,40.2617,2835,168
13,133,,DSDP,7.3355,39.1998,2563,6
13,134,,DSDP,7.3042,39.195,2864,23
13,134,A,DSDP,7.3042,39.195,2864,1.8
13,134,B,DSDP,7.3042,39.195,2869,0.2
13,134,C,DSDP,7.3042,39.195,2869
13,134,D,DSDP,7.3042,39.195,2871,1.3
13,134,E,DSDP,7.3042,39.195,2869,0.6
14,135,,DSDP,-10.4243,35.3467,4152,25
14,136,,DSDP,-16.3032,34.1688,4169,34
14,137,,DSDP,-27.0607,25.9255,5361,68
14,138,,DSDP,-25.5632,25.9228,5288,23
14,139,,DSDP,-18.7043,23.519,3047,17
14,140,,DSDP,-21.792,21.7495,4483,30
14,140,A,DSDP,-21.792,21.7495,4483,9.1
14,141,,DSDP,-23.9985,19.4193,4148,72
14,142,,DSDP,-42.3915,3.3692,4372,41
14,143,,DSDP,-54.3118,9.4742,3493
14,143,A,DSDP,-54.3118,9.4742,3493,3
14,143,B,DSDP,-54.3118,9.4742,3493
14,143,C,DSDP,-54.3118,9.4742,3501
14,143,D,DSDP,-54.3118,9.4742,3501
14,144,,DSDP,-54.342,9.4538,2957,28
14,144,A,DSDP,-54.342,9.4538,2957,29
14,144,B,DSDP,-54.342,9.4538,2957,27
15,145,,DSDP,-68.0562,16.579,4358
15,146,,DSDP,-69.3778,15.1165,3949,145
15,146,A,DSDP,-69.3778,15.1165,3949,4
15,147,,DSDP,-65.1747,10.708,892,119
15,147,A,DSDP,-65.1742,10.7113,892,6
15,147,B,DSDP,-65.1742,10.7113,892,80
15,147,C,DSDP,-65.1742,10.7113,892,32
15,148,,DSDP,-63.7208,13.4187,1232,181
15,149,,DSDP,-69.3642,15.1042,3972,239
15,150,,DSDP,-69.3558,14.5115,4545,39
15,150,A,DSDP,-69.3558,14.5115,4545,1
15,151,,DSDP,-73.4097,15.017,2029,56
15,152,,DSDP,-74.6078,15.8787,3899,59
15,153,,DSDP,-72.4347,13.9722,3932,70
15,154,,DSDP,-80.3792,11.0852,3338,66
15,154,A,DSDP,-80.3803,11.0845,3338,130
16,155,,DSDP,-81.0437,6.123,2752,57
16,156,,DSDP,-85.401,-1.68,2369,0.5
16,157,,DSDP,-85.9028,-1.7617,2591,274
16,157,A,DSDP,-85.9028,-1.7617,2591,19
16,158,,DSDP,-85.236,6.6227,1953,250
16,159,,DSDP,-122.288,12.332,4484,97
16,160,,DSDP,-130.88,11.7045,4940,96
16,161,,DSDP,-139.954,10.6708,4939,94
16,161,A,DSDP,-139.954,10.6712,4939,88
16,162,,DSDP,-140.044,14.8698,4854,132
16,163,,DSDP,-150.292,11.2443,5320,156
16,163,A,DSDP,-150.292,11.2443,5320,5
17,164,,DSDP,-161.517,13.2017,5485,81
17,165,,DSDP,-164.86,8.1783,5053,7.5
17,165,A,DSDP,-164.86,8.1783,5053,139
17,166,,DSDP,-175.08,3.7617,4962,155
17,166,A,DSDP,-175.08,3.7617,4962
17,167,,DSDP,-176.825,7.0683,3176,299
17,168,,DSDP,173.598,10.7033,5430,7.5
17,169,,DSDP,173.55,10.67,5415,12
17,170,,DSDP,177.617,11.8,5792,31
17,171,,DSDP,-169.46,19.1317,2295,173
18,172,,DSDP,-133.373,31.5372,4768,26
18,172,A,DSDP,-133.373,31.5372,4768
18,173,,DSDP,-125.452,39.9618,2927,196
18,174,,DSDP,-126.347,44.8897,2815,3
18,174,A,DSDP,-126.357,44.8897,2799,200
18,175,,DSDP,-125.242,44.8367,1999,122
18,176,,DSDP,-124.617,45.9333,193,41
18,177,,DSDP,-130.205,50.4697,2006,9
18,177,A,DSDP,-130.205,50.4697,2006,136
18,178,,DSDP,-147.131,56.9563,4218,212
18,179,,DSDP,-145.989,56.409,3781,70
18,180,,DSDP,-147.856,57.3627,4923,82
18,181,,DSDP,-148.465,57.4383,3086,106
18,182,,DSDP,-148.717,57.8827,1419,12
18,182,A,DSDP,-148.723,57.8813,1434
19,183,,DSDP,-161.206,52.5717,4708,150
19,184,,DSDP,-170.923,53.7107,1910,123
19,184,A,DSDP,-170.923,53.7107,1910
19,184,B,DSDP,-170.923,53.7107,1910,50
19,185,,DSDP,-169.243,54.4288,2110,98
19,186,,DSDP,-174.006,51.1302,4522,143
19,187,,DSDP,-173.953,51.11,4567,6.8
19,188,,DSDP,178.659,53.7535,2649,57
19,189,,DSDP,170.223,54.0357,3437,74
19,190,,DSDP,171.64,55.5592,3875,85
19,191,,DSDP,168.179,56.945,3854,44
19,191,A,DSDP,168.179,56.945,3860,21
19,191,B,DSDP,168.179,56.945,3860,8.5
19,192,,DSDP,164.714,53.0095,3014,152
19,192,A,DSDP,164.714,53.0095,3014,38
19,193,,DSDP,155.871,45.8033,4811,12
20,194,,DSDP,148.811,33.978,5754,15
20,195,,DSDP,146.979,32.7733,5968,14
20,195,A,DSDP,146.979,32.7733,5968
20,195,B,DSDP,146.979,32.7733,5968,1
20,196,,DSDP,148.575,30.1162,6194,8.5
20,197,,DSDP,147.674,30.2907,6153,1
20,198,,DSDP,154.584,25.8257,5848
20,198,A,DSDP,154.584,25.8257,5958,26
20,199,,DSDP,156.172,13.513,6100,59
20,200,,DSDP,156.783,12.8367,1479,36
20,200,A,DSDP,156.783,12.8367,1479,0.5
20,201,,DSDP,156.743,12.8315,1564
20,202,,DSDP,156.952,12.815,1515,2.5
21,203,,DSDP,-177.546,-22.1537,2720,20.3
21,204,,DSDP,-174.111,-24.9545,5354,49.4
21,204,A,DSDP,-174.111,-24.9545,5354
21,205,,DSDP,177.899,-25.5165,4320,134.7
21,206,,DSDP,165.452,-32.0125,3196,243.6
21,206,A,DSDP,165.452,-32.0125,3196
21,206,B,DSDP,165.452,-32.0125,3196,0.7
21,206,C,DSDP,165.452,-32.0125,3196,88.7
21,207,,DSDP,165.434,-36.9625,1389,38
21,207,A,DSDP,165.434,-36.9625,1389,212.3
21,208,,DSDP,161.221,-26.1102,1545,255.4
21,209,,DSDP,152.188,-15.9365,1428,76.7
21,209,A,DSDP,152.188,-15.9365,1428,2.2
21,210,,DSDP,152.896,-13.7665,4643,262.3
22,211,,DSDP,102.699,-9.7755,5518,67.2
22,212,,DSDP,99.2973,-19.189,6233,174.3
22,213,,DSDP,93.8962,-10.2118,5601,145.5
22,213,A,DSDP,93.8962,-10.2118,5601,24.5
22,214,,DSDP,88.718,-11.3368,1655,346
22,215,,DSDP,86.7917,-8.1217,5309,113.3
22,216,,DSDP,90.208,1.4622,2237,170.8
22,216,A,DSDP,90.208,1.4622,2237,53.7
22,217,,DSDP,90.5388,8.9262,3010,183.4
22,217,A,DSDP,90.5388,8.9262,3010,41.6
22,218,,DSDP,86.2828,8.007,3749,59.4
23,219,,DSDP,72.8778,9.0292,1764,172.5
23,219,A,DSDP,72.8778,9.0292,1764,50.6
23,220,,DSDP,70.9837,6.5162,4036,100.9
23,221,,DSDP,68.4062,7.9697,4650,76.6
23,222,,DSDP,61.5093,20.0915,3546,175.6
23,223,,DSDP,60.1297,18.7497,3633,203.7
23,224,,DSDP,59.7017,16.5418,2500,31
23,225,,DSDP,38.2518,21.3097,1228,137.5
23,226,,DSDP,38.0822,21.3418,2169,8.9
23,226,A,DSDP,38.0822,21.3418,2169
23,226,B,DSDP,38.0822,21.3418,2169
23,226,C,DSDP,38.0822,21.3418,2169
23,227,,DSDP,38.1328,21.331,1795,123.5
23,228,,DSDP,39.0033,19.086,1038,184.7
23,229,,DSDP,42.1912,14.7682,852,29.1
23,229,A,DSDP,42.1912,14.7682,852,119
23,230,,DSDP,41.8342,15.3167,832,13.4
24,231,,DSDP,48.2452,11.8902,2152,424.9
24,232,,DSDP,51.9145,14.4822,1743,126.7
24,232,A,DSDP,51.9143,14.4827,1726,125.5
24,233,,DSDP,52.1352,14.328,1839,135.3
24,233,A,DSDP,52.1352,14.328,1839,37.3
24,234,,DSDP,51.2247,4.4827,4721,90.1
24,234,A,DSDP,51.2247,4.4827,4721,1.4
